ID   M_g   Zmet   log(Teff)   log(g)   Age/Gyr   FUV   NUV   M_u   M_g   M_r   M_i   M_z   M_J   M_H   M_Ks   W1   W2   W3   W4
02x03   0.7340  -1.7040   3.7089   2.3189   8.0000  15.2389   5.4415   1.9969   0.7340   0.1669  -0.0446  -0.1493  -1.1727  -1.6352  -1.6981  -1.7321  -1.7371  -1.7740  -1.7961
03x03   1.0590  -1.7040   3.7147   2.4846   8.0000  15.0891   5.5194   2.2658   1.0590   0.5188   0.3178   0.2205  -0.7901  -1.2397  -1.2994  -1.3324  -1.3384  -1.3731  -1.3961
04x03   1.4798  -1.7040   3.7242   2.7478   6.0000  14.7201   5.5848   2.6003   1.4798   0.9807   0.7972   0.7128  -0.2787  -0.7033  -0.7595  -0.7905  -0.7993  -0.8286  -0.8516
05x03   2.0295  -1.7040   3.7344   3.0467   5.0000  14.2759   5.8161   3.0832   2.0295   1.5675   1.4008   1.3291   0.3588  -0.0436  -0.0959  -0.1239  -0.1329  -0.1602  -0.1832
06x03   2.5350  -1.7040   3.7420   3.2661   6.0000  14.0693   6.1168   3.5419   2.5350   2.0991   1.9447   1.8819   0.9263   0.5421   0.4921   0.4666   0.4559   0.4313   0.4076
07x03   2.8753  -1.7040   3.7397   3.3239  10.0000  14.5957   6.4930   3.8885   2.8753   2.4292   2.2702   2.2046   1.2451   0.8565   0.8050   0.7775   0.7675   0.7425   0.7190
08x03   3.0957  -1.7040   3.7526   3.4956   9.0000  13.6974   6.4156   4.0421   3.0957   2.6960   2.5588   2.5086   1.5731   1.2118   1.1668   1.1444   1.1334   1.1111   1.0871
09x03   3.2581  -1.7040   3.8468   4.0637   7.0000   9.5153   5.5051   4.1623   3.2581   3.1465   3.1587   3.2179   2.4492   2.2886   2.2696   2.2656   2.2597   2.2468   2.2287
10x03   3.3954  -1.7040   3.8181   3.9477   9.0000  10.5108   5.8398   4.2603   3.3954   3.1998   3.1646   3.1911   2.3734   2.1503   2.1270   2.1190   2.1124   2.0974   2.0778
11x03   3.5163  -1.7040   3.8245   4.0245   9.0000  10.4031   5.8903   4.3759   3.5163   3.3376   3.3114   3.3452   2.5382   2.3283   2.3063   2.2999   2.2939   2.2789   2.2599
12x03   3.6297  -1.7040   3.8271   4.0795   9.0000  10.4421   5.9769   4.4859   3.6297   3.4574   3.4353   3.4712   2.6685   2.4638   2.4422   2.4362   2.4302   2.4162   2.3967
13x03   3.7354  -1.7040   3.8284   4.1248   9.0000  10.5160   6.0665   4.5867   3.7354   3.5654   3.5449   3.5823   2.7813   2.5787   2.5577   2.5517   2.5457   2.5317   2.5127
14x03   3.8366  -1.7040   3.8477   4.2886   6.0000  10.0762   6.0189   4.6984   3.8366   3.7174   3.7263   3.7863   3.0172   2.8540   2.8360   2.8340   2.8290   2.8160   2.7980
15x03   3.9344  -1.7040   3.8503   4.3475   5.0000  10.1090   6.0889   4.7918   3.9344   3.8214   3.8330   3.8955   3.1311   2.9713   2.9543   2.9523   2.9477   2.9357   2.9170
16x03   4.0331  -1.7040   3.8464   4.3631   5.0000  10.3136   6.2047   4.8790   4.0331   3.9080   3.9132   3.9710   3.1998   3.0313   3.0143   3.0117   3.0070   2.9947   2.9757
17x03   4.1336  -1.7040   3.8335   4.3142   7.0000  10.7816   6.3942   4.9621   4.1336   3.9721   3.9569   3.9997   3.2075   3.0122   2.9922   2.9882   2.9831   2.9691   2.9501
18x03   4.2371  -1.7040   3.8264   4.3069   8.0000  11.0896   6.5424   5.0534   4.2371   4.0551   4.0281   4.0635   3.2585   3.0480   3.0279   3.0220   3.0169   3.0020   2.9829
19x03   4.3437  -1.7040   3.8200   4.3056   9.0000  11.4183   6.7023   5.1547   4.3437   4.1433   4.1068   4.1346   3.3181   3.0949   3.0729   3.0661   3.0604   3.0454   3.0254
20x03   4.4553  -1.7040   3.8272   4.4061   6.0000  11.2925   6.7354   5.2567   4.4552   4.2718   4.2451   4.2812   3.4765   3.2669   3.2469   3.2419   3.2369   3.2220   3.2029
21x03   4.5725  -1.7040   3.8143   4.3599   9.0000  11.8663   6.9745   5.3711   4.5725   4.3535   4.3071   4.3284   3.5023   3.2659   3.2427   3.2355   3.2295   3.2145   3.1935
22x03   4.6955  -1.7040   3.8137   4.4079   8.0000  12.0205   7.0954   5.4873   4.6955   4.4731   4.4250   4.4452   3.6181   3.3800   3.3570   3.3496   3.3436   3.3276   3.3076
23x03   4.8291  -1.7040   3.8054   4.4005  10.0000  12.4650   7.3087   5.6174   4.8291   4.5827   4.5219   4.5324   3.6917   3.4358   3.4107   3.4016   3.3946   3.3795   3.3576
24x03   4.9712  -1.7040   3.8072   4.4800   7.0000  12.5476   7.4215   5.7495   4.9712   4.7277   4.6690   4.6818   3.8440   3.5912   3.5667   3.5581   3.5516   3.5361   3.5151
25x03   5.1245  -1.7040   3.8021   4.5078   7.0000  12.9025   7.6222   5.8979   5.1245   4.8658   4.7986   4.8052   3.9589   3.6958   3.6691   3.6601   3.6531   3.6372   3.6162
26x03   5.2936  -1.7040   3.7962   4.5371   7.0000  13.3611   7.8660   6.0710   5.2936   5.0168   4.9402   4.9400   4.0842   3.8093   3.7808   3.7694   3.7624   3.7464   3.7244
27x03   5.4831  -1.7040   3.7866   4.5444   9.0000  14.0521   8.1914   6.2772   5.4831   5.1758   5.0851   5.0740   4.2034   3.9117   3.8782   3.8626   3.8556   3.8386   3.8171
28x03   5.7011  -1.7040   3.7840   4.6317   4.0000  14.4376   8.4487   6.4956   5.7011   5.3829   5.2881   5.2750   4.4004   4.1049   4.0694   4.0527   4.0457   4.0289   4.0077
29x03   5.9659  -1.7040   3.7730   4.6690   3.0000  15.3450   8.8888   6.7883   5.9659   5.6111   5.4991   5.4729   4.5814   4.2674   4.2258   4.2040   4.1956   4.1786   4.1576
30x03   6.3020  -1.7040   3.7562   4.6897   4.0000  16.8600   9.5505   7.2053   6.3020   5.8864   5.7491   5.7038   4.7851   4.4457   4.3932   4.3608   4.3511   4.3337   4.3121
31x03   6.8015  -1.7040   3.7332   4.7345   3.0000  19.0369  10.5536   7.8557   6.8015   6.2959   6.1212   6.0507   5.0926   4.7170   4.6489   4.6020   4.5910   4.5689   4.5483
32x03   7.8719  -1.7040   3.6884   4.8154   4.0000  22.7507  12.7753   9.3338   7.8719   7.1715   6.9168   6.7882   5.7455   5.2883   5.1874   5.1107   5.1003   5.0555   5.0406
01x04   0.1037  -1.6263   3.6947   1.9430  10.0000  15.6930   5.4524   1.5209   0.1038  -0.5360  -0.7757  -0.9012  -1.9558  -2.4548  -2.5238  -2.5618  -2.5608  -2.6059  -2.6279
02x04   0.7340  -1.6263   3.7089   2.3189   8.0000  15.2389   5.4415   1.9969   0.7340   0.1669  -0.0446  -0.1493  -1.1727  -1.6352  -1.6981  -1.7321  -1.7371  -1.7740  -1.7961
03x04   1.0590  -1.6263   3.7125   2.4427  10.0000  15.2611   5.5997   2.2842   1.0590   0.5087   0.3040   0.2033  -0.8115  -1.2660  -1.3279  -1.3609  -1.3669  -1.4018  -1.4248
04x04   1.4798  -1.6263   3.7193   2.6827   8.0000  15.2747   5.8386   2.6683   1.4798   0.9525   0.7616   0.6724  -0.3291  -0.7652  -0.8232  -0.8542  -0.8592  -0.8932  -0.9152
05x04   2.0295  -1.6263   3.7824   3.3742   3.0000  10.6964   4.9472   2.9515   2.0295   1.7371   1.6492   1.6355   0.7550   0.4610   0.4267   0.4117   0.4024   0.3834   0.3621
06x04   2.5351  -1.6263   3.7368   3.2013   8.0000  14.5340   6.2396   3.5698   2.5351   2.0800   1.9173   1.8481   0.8824   0.4875   0.4345   0.4073   0.3975   0.3713   0.3483
